baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,enrichment
2903.860796546321,14.58236234409827,2.535274627652109,5.751788064712674,8.83044573845299e-9,5.111884370805974e-7,DPP10,poor
1760.0989601467727,13.860077219326236,2.1593845803745224,6.418531161745331,1.375954449835715e-10,1.2803129534146188e-8,MXRA5,poor
1834.1858088559093,13.061772068023329,2.9851539417216473,4.3755773816107215,1.2111146666957806e-5,2.600266477920046e-4,CDKN2A,poor
925.2949738997553,12.93242051475576,2.0196140111564094,6.403411960561114,1.5194248644302506e-10,1.4051900560252202e-8,SYT13,poor
646.7715845858662,12.415768880964304,1.950942267328927,6.363985797469535,1.965843256784486e-10,1.796141245521102e-8,SIX6,poor
979.2543849988764,12.151570393901453,2.3535496272115086,5.163082287879633,2.429162879429768e-7,9.44695215187469e-6,FEV,poor
2933.264144454126,12.14864471746896,1.6516939751325348,7.3552636870847286,1.9055058244442628e-13,3.277345440370325e-11,IGLON5,poor
436.514967071839,11.848560553404031,1.377854023381289,8.599285811371628,8.021369587552948e-18,2.7035580563203453e-15,FIGNL2,poor
816.776335270459,11.790472055949449,1.9810628802401995,5.951589004847681,2.655515420801245e-9,1.7821328489952425e-7,USP43,poor
2747.8223489346256,11.652080265348927,2.799315110207374,4.162475393663609,3.148160753152415e-5,5.718341813540441e-4,LUZP2,poor
3326.2134545196977,11.337931821013484,1.1053492824953584,10.257329516166845,1.0969847954205657e-24,1.1884263137245515e-21,SHD,poor
300.91077756804435,11.311867768280322,1.659021696444243,6.818396524002599,9.206224928559215e-12,1.082409406910524e-9,MMD2,poor
283.4733195773244,11.225720923019658,2.0151559512395685,5.570646240115789,2.5379618468646217e-8,1.270404862422301e-6,VGLL2,poor
2034.051798636289,11.210873012578247,1.253707496738708,8.94217593955631,3.8158145013269794e-19,1.866918017471816e-16,SILC1,poor
27374.39200469479,11.182922130558868,1.499116845420684,7.459673450217753,8.673717769309641e-14,1.5849912940616785e-11,VGF,poor
259.46648023113505,11.098073755196806,2.0479846332891665,5.419021986201498,5.992594852968918e-8,2.752289319068741e-6,FRRS1L,poor
246.36360948054568,11.023283571359872,2.2095869622135953,4.9888435078004765,6.074182621360365e-7,2.0564091030842113e-5,CBFA2T3,poor
1335.6558032732082,11.017262099210205,1.6008738343441566,6.8820302155314685,5.90054932072899e-12,7.275905003861512e-10,"NAT16",poor
1314.022848920157,10.99403070512328,1.3481979582991575,8.154611596499516,3.5030382403641986e-16,9.83899647992663e-14,SCN3B,poor
2770.369561721079,10.849180843774588,1.5978841712769358,6.789716700869849,1.1235395164983859e-11,1.290963927782653e-9,ABCC8,poor
1471.6244767113171,10.749500279763778,1.5627753527142014,6.878468015952664,6.049962955013314e-12,7.399982914410237e-10,MIR124-1HG,poor
2898.0737938927136,10.558507211611879,1.6084600759893615,6.564357654396462,5.225763679789947e-11,5.319406559152625e-9,GPR17,poor
622.684529579227,10.499665135542141,1.41656865229524,7.412041145008911,1.2437015566562978e-13,2.245621608310246e-11,EXTL1,poor
38405.95579083558,10.494695451911005,0.6575515961661889,15.960261541603174,2.4171636490028702e-57,3.6661121064426534e-53,NCAN,poor
607.422218817691,10.467049679317379,1.3243175153748734,7.903731210830116,2.706763722531604e-15,6.127385877557738e-13,LOC400940,poor
10365.907675398508,10.397381668132692,1.3491634926042961,7.706539441015099,1.2927529806001267e-14,2.7232200634391834e-12,ATCAY,poor
304.35302373839687,10.365973999354482,1.6357576498185213,6.337108678968753,2.341168601442563e-10,2.064447917330195e-8,C2CD4C,poor
1112.995327819077,10.347292016183,2.0324561923045836,5.091028311144211,3.561268427444953e-7,1.3078391825437675e-5,PDX1,poor
150.00549957580984,10.307555617721077,1.709195900292028,6.030646116082983,1.6330544119620737e-9,1.1466914938068876e-7,B3GALT5-AS1,poor
533.834060113724,10.28071743834535,2.3563289006992187,4.363023105685562,1.282773893444244e-5,2.709725855413489e-4,CNTN3,poor
795.27848688182155,10.267870408400558,1.3566287589285175,7.568666328812203,3.7707530351176825e-14,7.427404062809077e-12,TLX1,poor
1845.570539743273,10.263684605187146,1.27241083916445,8.06632912049615,7.244335699255826e-16,1.9620507062609484e-13,KCNA6,poor
143.6740308145658,10.245299770834798,2.1278502778922332,4.81485933351636,1.4730361608872374e-6,4.540963303287953e-5,LRFN2,poor
2804.0236650322504,10.213669104316635,1.3510094684486085,7.560027773932035,4.0298330369670255e-14,7.835958675856266e-12,SORCS3,poor
2215.9744203825917,-10.01869806586806,1.547482502308566,-6.474191501953632,9.532094672351921e-11,9.042753446220963e-9,FGF5,good
231.12499246900484,9.96870771917847,2.2106699394836045,4.5093605070267,6.502333242311929e-6,1.5385473991598288e-4,PPP1R17,poor
117.80669858304726,9.95893753844231,1.9281940634097552,5.164904159507291,2.405621512220567e-7,9.401197619580251e-6,SVOP,poor
413.61110039159325,9.912402096485692,1.8067000633185113,5.486468007467042,4.1004964469914157e-8,1.9618999877450725e-6,ACKR1,poor
618.0637958107745,9.905489222804034,1.3408842666949077,7.387281265682743,1.498613748874832e-13,2.6429621778121604e-11,SLC6A11,poor
