ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,phenotype
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK INTERFERON GAMMA RESPONSE,160,-0.6559197100762126,-2.3444748322264544,1e-10,1.25e-9,6.842105263157895e-10,2680,"tags=49%, list=19%, signal=40%",IRF9/CMPK2/BPGM/CXCL11/IFIH1/PNPT1/USP18/JAK2/HLA-A/CASP3/IL7/MX2/MYD88/STAT1/NLRC5/CASP4/IFI44L/SPPL2A/PARP14/ST8SIA4/RTP4/MT2A/NOD1/IFI35/CASP8/EPSTI1/PTPN2/HERC6/PML/HIF1A/CASP7/IFIT2/PLSCR1/IRF1/PARP12/PTPN1/LGALS3BP/IFI44/RSAD2/UPP1/LAP3/SP110/NCOA3/ICAM1/EIF2AK2/IFITM2/DDX58/ZNFX1/RIPK1/PSMB10/IFITM3/IL15/OAS2/PSME1/PSMA2/MX1/NMI/IFIT3/VAMP5/FAS/NAMPT/PSMA3/IFI30/OASL/SOD2/PNP/ISG20/PSMB2/B2M/NFKB1/IFIT1/ISG15/NFKBIA/GBP4/MVP/IFI27/PSME2/TNFAIP2,good
HALLMARK_MTORC1_SIGNALING,HALLMARK MTORC1 SIGNALING,194,-0.6783334886034424,-2.4474489565614728,1e-10,1.25e-9,6.842105263157895e-10,2519,"tags=48%, list=18%, signal=40%",RDH11/CCT6A/NIBAN1/STIP1/PITPNB/COPS5/LGMN/EEF1E1/EDEM1/HMBS/CACYBP/SLC9A3R1/BHLHE40/CYP51A1/USO1/RAB1A/DDX39A/CYB5B/PDK1/MTHFD2L/PLK1/BTG2/HSPA5/PSMA4/HSP90B1/SDF2L1/RPN1/SQLE/M6PR/GPI/FKBP2/G6PD/AK4/BUB1/GLRX/PSMD13/ERO1A/STC1/PSMG1/MAP2K3/ARPC5L/TBK1/EGLN3/POLR3G/ATP6V1D/SEC11A/GMPS/PRDX1/SSR1/PPIA/HSPA4/ENO1/HSPD1/GBE1/P4HA1/ELOVL5/ACTR3/PNO1/CALR/IMMT/GAPDH/LDLR/UBE2D3/PSMC2/GTF2H1/HSPE1/ETF1/STARD4/CD9/PSMB5/EIF2S2/EBP/PSMD12/PSMC4/NAMPT/PSMA3/IFI30/TPI1/CCNG1/ACTR2/PSMC6/GLA/PNP/SQSTM1/HPRT1/AURKA/RIT1/LDHA/ELOVL6/ALDOA/SLC2A1/PSMD14/PGK1,good
HALLMARK_MYC_TARGETS_V1,HALLMARK MYC TARGETS V1,198,-0.7104396835785128,-2.54289002739651,1e-10,1.25e-9,6.842105263157895e-10,2878,"tags=58%, list=21%, signal=46%",ORC2/EIF3B/DEK/DDX21/CNBP/TXNL4A/SRPK1/NME1/NOP56/CANX/RPL22/PRDX3/RPL14/SYNCRIP/COPS5/RPS10/EIF3D/VBP1/APEX1/HNRNPA2B1/TYMS/EIF1AX/RPS5/PTGES3/PCBP1/G3BP1/RPS2/EEF1B2/ILF2/POLE3/KARS1/PRPF31/TCP1/KPNA2/PWP1/YWHAE/EIF2S1/SSBP1/GOT2/PSMA4/RPLP0/SRSF1/TARDBP/EIF3J/UBA2/TRA2B/CUL1/AIMP2/SERBP1/RPL34/PCNA/NPM1/YWHAQ/RPS6/ERH/HNRNPC/DHX15/RACK1/VDAC1/SNRPD3/MRPL9/SSB/HSP90AB1/HDDC2/ACP1/UBE2L3/SNRPB2/PPM1G/PPIA/CDC20/EIF4E/LSM7/SLC25A3/HSPD1/PRPS2/RPL18/SRSF3/NOP16/CCT4/NDUFAB1/CCNA2/CCT7/PSMA2/HSPE1/SNRPD1/PSMD7/PSMD1/ETF1/PSMA1/GLO1/VDAC3/ABCE1/AP3S1/XRCC6/SRSF7/EIF4G2/EIF2S2/MAD2L1/H2AZ1/PSMC4/PSMD8/SNRPG/PSMC6/SNRPD2/PSMB3/PSMB2/HPRT1/LDHA/SNRPA1/PSMA6/PRDX4/PSMA7/PSMD14/PGK1,good
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK OXIDATIVE PHOSPHORYLATION,198,-0.6890983408256707,-2.466502560716581,1e-10,1.25e-9,6.842105263157895e-10,2674,"tags=58%, list=19%, signal=47%",NDUFA2/MRPS22/COX11/NDUFC2/PDHX/ATP6V0B/PRDX3/MRPL35/DLD/ATP5MC3/ACAT1/SDHC/BAX/NDUFB2/SUCLG1/ISCA1/COX7C/DLST/NDUFS4/NDUFS6/NDUFB5/MRPL11/NDUFB8/ATP6V1F/NDUFB3/ATP5MG/NDUFS1/GOT2/COX5B/ATP6V1E1/TIMM50/GPI/NDUFA8/MRPS12/MDH2/ATP5F1C/NDUFS8/VDAC2/DLAT/MRPS30/CASP7/ECHS1/TIMM8B/MGST3/ATP5ME/ATP5MF/UQCRC2/VDAC1/NDUFA9/ATP6AP1/HADHA/NDUFA3/AFG3L2/NDUFA7/UQCR10/CYCS/CPT1A/ATP6V1D/TIMM9/NDUFB4/ATP5PB/ATP5F1A/NDUFA4/NDUFB7/NDUFA6/UQCRFS1/SLC25A3/COX7A2/NDUFC1/TOMM22/ETFDH/COX4I1/HSD17B10/IMMT/SLC25A5/NDUFB1/OXA1L/NDUFAB1/TIMM17A/CYB5A/UQCRQ/GPX4/ETFA/ABCB7/PDP1/MDH1/ATP5PD/DECR1/COX6C/NDUFV2/PDHA1/UQCRH/GRPEL1/ATP6V0E1/UQCR11/AIFM1/FH/VDAC3/MRPL15/NQO2/COX6B1/NDUFA1/IDH3G/ECH1/ACAA2/HCCS/MPC1/NDUFB6/COX7B/COX7A2L/MRPL34/SDHB/ATP5F1E/LDHA/MRPS15,good
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK INTERFERON ALPHA RESPONSE,88,-0.6863382030096642,-2.234468107200104,1.912946304762623e-9,1.9129463047626228e-8,1.0470863983963831e-8,3077,"tags=62%, list=22%, signal=49%",WARS1/SAMD9L/TRIM25/IRF2/CD47/CXCL10/TRIM21/IRF9/CMPK2/CXCL11/IFIH1/PNPT1/USP18/SAMD9/IL7/PARP9/IFI44L/PARP14/CSF1/RTP4/IFI35/CASP8/EPSTI1/ELF1/HERC6/IFIT2/PLSCR1/IRF1/PARP12/LGALS3BP/IFI44/RSAD2/LAP3/SP110/EIF2AK2/IFITM2/GMPR/IFITM3/IL15/PSME1/MX1/NMI/IFIT3/PROCR/PSMA3/IFI30/OASL/ISG20/B2M/ISG15/IFITM1/GBP2/GBP4/IFI27/PSME2,good
HALLMARK_PROTEIN_SECRETION,HALLMARK PROTEIN SECRETION,94,-0.6649689166645387,-2.1764164072379364,3.4699137089904114e-9,2.8915947574920098e-8,1.5827676567324686e-8,2679,"tags=49%, list=19%, signal=40%",ANP32E/OCRL/GALC/TSG101/AP3B1/ARFGAP3/IGF2R/ARCN1/SCAMP3/BET1/PAM/USO1/GOLGA4/SEC31A/CLTC/RER1/M6PR/BNIP3/TMED10/ZW10/SOD1/COPB1/VPS4B/NAPA/SEC22B/YIPF6/RAB22A/ARF1/TMED2/LMAN1/SEC24D/ADAM10/CD63/ARFGEF2/TMX1/COPE/SNX2/ARFIP1/CLTA/AP2S1/RAB9A/AP3S1/ERGIC3/KRT18/GLA/LAMP2,good
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK FATTY ACID METABOLISM,130,-0.5849677236701674,-2.0061730714630213,3.327844744644622e-8,2.3770319604604444e-7,1.3011122309888748e-7,2524,"tags=44%, list=18%, signal=36%",IDI1/SERINC1/RETSAT/NBN/SMS/DLD/RDH11/SDHC/SUCLG1/NTHL1/HSP90AA1/APEX1/DLST/ERP29/MIF/HMGCL/HSD17B11/HSD17B7/MDH2/GRHPR/G0S2/ACSL1/ACOT8/ECHS1/HADH/ACAT2/CRYZ/PTS/YWHAH/METAP1/CPT1A/EPHX1/ETFDH/ELOVL5/HSD17B10/ADSL/UROD/MDH1/PSME1/DECR1/RAP1GDS1/PDHA1/FH/IDH3G/ECH1/ACAA2/HCCS/H2AZ1/NSDHL/PRDX6/OSTC/LGALS1/S100A10/ACSL4/LDHA/ALDOA/ECI2,good
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK PI3K AKT MTOR SIGNALING,90,-0.617425917948667,-2.0022462633175184,4.2120085353103964e-7,2.6325053345689976e-6,1.440950288395662e-6,1883,"tags=27%, list=14%, signal=23%",PDK1/CLTC/HSP90B1/NOD1/ATF1/RALB/PPP1CA/MAP2K3/TBK1/MKNK1/EIF4E/ARF1/ARPC3/RIPK1/ACTR3/CALR/UBE2D3/YWHAB/ACTR2/SQSTM1/PPP2R1B/RIT1/SLC2A1/PFN1,good
HALLMARK_KRAS_SIGNALING_DN,HALLMARK KRAS SIGNALING DN,121,0.7234091359071574,1.8095481933865307,3.0577574122671337e-6,1.6442360283741252e-5,9.000028786889949e-6,2406,"tags=42%, list=18%, signal=35%",SOX10/CLSTN3/CAMK1D/TLX1/THRB/MACROH2A2/SLC29A3/GDNF/YBX2/MYH7/RYR1/KCNN1/GPR19/ARHGDIG/RGS11/COL2A1/THNSL2/ACTC1/YPEL1/RIBC2/ALOX12B/HSD11B2/TEX15/KCND1/FGFR3/MYO15A/PDE6B/SLC30A3/GAMT/SPTBN2/C5/NR4A2/DLK2/NRIP2/PDK2/ARPP21/SKIL/STAG3/TGM1/SYNPO/CPA2/WNT16/IDUA/MAST3/TFAP2B/SNCB/CHST2/DCC/EFHD1/PRODH/CPEB3,poor
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,46,-0.7121913870889174,-2.0773301352748637,3.2884720567482505e-6,1.6442360283741252e-5,9.000028786889949e-6,1532,"tags=48%, list=11%, signal=43%",SRXN1/PDLIM1/G6PD/GLRX/PRDX2/HMOX2/SOD1/SELENOS/NDUFB4/PRDX1/NDUFA6/GPX4/ATOX1/GCLM/MGST1/PRDX6/SOD2/NQO1/LAMTOR5/TXN/FTL/PRDX4,good
