PATIENT,CHRNA7|1139
TCGA-76-4925-01A-01R-1850-01,1.192762
TCGA-26-1442-01A-01R-1850-01,3.45461
TCGA-06-0747-01A-01R-1849-01,3.997699
TCGA-06-5414-01A-01R-1849-01,0.4774701
TCGA-28-5215-01A-01R-1850-01,3.389498
TCGA-02-0055-01A-01R-1849-01,3.051024
TCGA-28-1747-01C-01R-1850-01,1.783624
TCGA-06-1804-01A-01R-1849-01,5.813499
TCGA-14-1829-01A-01R-1850-01,1.970154
TCGA-28-2509-01A-01R-1850-01,2.75841
TCGA-02-2485-01A-01R-1849-01,4.487268
TCGA-26-5139-01A-01R-1850-01,2.468192
TCGA-76-4926-01B-01R-1850-01,1.527671
TCGA-27-1832-01A-01R-1850-01,2.340448
TCGA-12-3652-01A-01R-1849-01,6.395867
TCGA-06-0129-01A-01R-1849-01,4.318621
TCGA-28-2499-01A-01R-1850-01,6.416527
TCGA-28-1753-01A-01R-1850-01,3.259197
TCGA-12-0616-01A-01R-1849-01,2.135601
TCGA-06-0882-01A-01R-1849-01,3.722717
TCGA-06-0178-01A-01R-1849-01,2.332307
TCGA-14-1034-01A-01R-1849-01,5.308514
TCGA-32-2632-01A-01R-1850-01,3.886931
TCGA-06-0174-01A-01R-1849-01,3.869447
TCGA-28-5220-01A-01R-1850-01,5.275596
TCGA-32-2615-01A-01R-1850-01,3.060635
TCGA-27-2528-01A-01R-1850-01,1.452754
TCGA-06-2565-01A-01R-1849-01,3.701671
TCGA-19-4065-01A-01R-2005-01,3.885877
TCGA-26-5132-01A-01R-1850-01,6.029141
TCGA-14-1825-01A-01R-1850-01,3.463806
TCGA-02-2483-01A-01R-1849-01,2.384492
TCGA-15-0742-01A-01R-1850-01,0
TCGA-06-5408-01A-01R-1849-01,5.846576
TCGA-06-5410-01A-01R-1849-01,3.837519
TCGA-26-5136-01B-01R-1850-01,2.814181
TCGA-32-1982-01A-01R-1850-01,2.761179
TCGA-06-0750-01A-01R-1849-01,2.423578
TCGA-06-2570-01A-01R-1849-01,4.475468
TCGA-14-0789-01A-01R-1849-01,2.990737
TCGA-06-5413-01A-01R-1849-01,4.150495
TCGA-26-5134-01A-01R-1850-01,3.939631
TCGA-08-0386-01A-01R-1849-01,5.332414
TCGA-06-2562-01A-01R-1849-01,4.30807
TCGA-19-2620-01A-01R-1850-01,2.221258
TCGA-41-5651-01A-01R-1850-01,4.277085
TCGA-14-0871-01A-01R-1849-01,5.175676
TCGA-41-4097-01A-01R-1850-01,3.116797
TCGA-06-0158-01A-01R-1849-01,2.783142
TCGA-06-0187-01A-01R-1849-01,1.815207
TCGA-06-0211-01B-01R-1849-01,4.275961
TCGA-12-3650-01A-01R-1849-01,0.9381729
TCGA-06-0219-01A-01R-1849-01,4.113584
TCGA-19-2629-01A-01R-1850-01,0.502025
TCGA-28-5216-01A-01R-1850-01,1.259845
TCGA-06-2569-01A-01R-1849-01,4.752679
TCGA-27-1835-01A-01R-1850-01,2.508048
TCGA-19-1787-01B-01R-1850-01,5.443587
