PATIENT,EGR1|1958
TCGA-76-4925-01A-01R-1850-01,12.53127
TCGA-26-1442-01A-01R-1850-01,9.471608
TCGA-06-0747-01A-01R-1849-01,13.60715
TCGA-06-5414-01A-01R-1849-01,12.78815
TCGA-28-5215-01A-01R-1850-01,13.78465
TCGA-02-0055-01A-01R-1849-01,14.06774
TCGA-28-1747-01C-01R-1850-01,10.94325
TCGA-06-1804-01A-01R-1849-01,9.601342
TCGA-14-1829-01A-01R-1850-01,10.6861
TCGA-28-2509-01A-01R-1850-01,12.43869
TCGA-02-2485-01A-01R-1849-01,14.93732
TCGA-26-5139-01A-01R-1850-01,12.18831
TCGA-76-4926-01B-01R-1850-01,10.88085
TCGA-27-1832-01A-01R-1850-01,12.1004
TCGA-12-3652-01A-01R-1849-01,11.57026
TCGA-06-0129-01A-01R-1849-01,11.69717
TCGA-28-2499-01A-01R-1850-01,11.56502
TCGA-28-1753-01A-01R-1850-01,12.79003
TCGA-12-0616-01A-01R-1849-01,12.25599
TCGA-06-0882-01A-01R-1849-01,13.10517
TCGA-06-0178-01A-01R-1849-01,11.33718
TCGA-14-1034-01A-01R-1849-01,12.49966
TCGA-32-2632-01A-01R-1850-01,12.11358
TCGA-06-0174-01A-01R-1849-01,12.06573
TCGA-28-5220-01A-01R-1850-01,8.688824
TCGA-32-2615-01A-01R-1850-01,13.47239
TCGA-27-2528-01A-01R-1850-01,13.32165
TCGA-06-2565-01A-01R-1849-01,12.78573
TCGA-19-4065-01A-01R-2005-01,13.18867
TCGA-26-5132-01A-01R-1850-01,11.77731
TCGA-14-1825-01A-01R-1850-01,10.06505
TCGA-02-2483-01A-01R-1849-01,13.21623
TCGA-15-0742-01A-01R-1850-01,13.01669
TCGA-06-5408-01A-01R-1849-01,13.67544
TCGA-06-5410-01A-01R-1849-01,12.18838
TCGA-26-5136-01B-01R-1850-01,10.16403
TCGA-32-1982-01A-01R-1850-01,14.65758
TCGA-06-0750-01A-01R-1849-01,13.28553
TCGA-06-2570-01A-01R-1849-01,11.35271
TCGA-14-0789-01A-01R-1849-01,13.40978
TCGA-06-5413-01A-01R-1849-01,11.72085
TCGA-26-5134-01A-01R-1850-01,13.35964
TCGA-08-0386-01A-01R-1849-01,11.08245
TCGA-06-2562-01A-01R-1849-01,13.46623
TCGA-19-2620-01A-01R-1850-01,12.56675
TCGA-41-5651-01A-01R-1850-01,10.90661
TCGA-14-0871-01A-01R-1849-01,10.90533
TCGA-41-4097-01A-01R-1850-01,11.30873
TCGA-06-0158-01A-01R-1849-01,12.87264
TCGA-06-0187-01A-01R-1849-01,12.82964
TCGA-06-0211-01B-01R-1849-01,11.43697
TCGA-12-3650-01A-01R-1849-01,11.56026
TCGA-06-0219-01A-01R-1849-01,11.45283
TCGA-19-2629-01A-01R-1850-01,11.81335
TCGA-28-5216-01A-01R-1850-01,13.17513
TCGA-06-2569-01A-01R-1849-01,12.00526
TCGA-27-1835-01A-01R-1850-01,13.37293
TCGA-19-1787-01B-01R-1850-01,11.15894
TCGA-27-1834-01A-01R-1850-01,10.61806
TCGA-14-0817-01A-01R-1849-01,12.39624
TCGA-06-0190-01A-01R-1849-01,15.13981
TCGA-06-0745-01A-01R-1849-01,13.12124
TCGA-06-0743-01A-01R-1849-01,11.4581
TCGA-06-2564-01A-01R-1849-01,12.10281
TCGA-28-5207-01A-01R-1850-01,13.49576
TCGA-28-5208-01A-01R-1850-01,13.72006
TCGA-14-0781-01B-01R-1849-01,13.55105
TCGA-06-0132-01A-02R-1849-01,11.34358
TCGA-06-5858-01A-01R-1849-01,11.23035
TCGA-06-0156-01A-03R-1849-01,11.64858
