gene,geneID,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good
WASH7P,653635,1658.02595313843,1666.92682787314,1040.88067329721,1863.37918896619,2260.19387460882,1159.05434214514,1323.40452369265,671.88155641433,1551.10931610581
LOC729737,729737,40.8269044548451,70.911190581533,46.6150820373408,42.9224456690566,50.8128324598611,106.945163739077,116.39062586222,13.3889440589812,37.4664086015895
LOC100132287,100132287,26.4618825170292,28.7755555983032,57.9846142415702,94.0205952750763,181.753593029503,75.8732580581293,17.2430556832919,12.1717673263466,18.3926005862349
LOC100133331,100133331,815.0259815245,572.428016723389,442.274802744526,1104.40134015144,756.329467767932,531.112806406905,314.685766220077,562.335650477211,602.187367341912
LOC100288069,100288069,105.091476281916,106.880635079412,88.1138745827783,196.898203148529,112.374533324693,89.6027047543622,81.9045144956365,54.7729529685596,59.2650463334235
FAM87B,400728,15.1210757240167,85.2989683806846,24.4444942390933,51.0981496060197,38.1096243448958,19.5102663578047,34.4861113665838,74.2477806907141,27.2482971647924
LINC00115,79854,173.136317039991,201.428889188123,65.3748101743194,198.260820471357,168.07321505954,74.4280531427363,68.9722227331676,262.910174249086,132.835448678363
LINC01128,643837,1123.49592629444,629.979127919996,872.043120064399,560.71702834339,393.799451563923,708.873011000236,1211.32466175126,802.119466806239,457.090184939392
FAM41C,284593,1.51210757240167,0,5.68476610211473,5.45046929130877,2.93150956499198,0,4.31076392082297,2.43435346526931,2.72482971647924
LOC284600,284600,624.50042740189,397.71928630512,721.965294968571,1577.22955117248,391.845111853929,55.6403892426281,99.1475701789284,0,1.36241485823962
LINC02593,100130417,74.8493248338827,56.5234127823814,121.653994585255,384.939393698682,232.566425489364,5.05821720387529,4.31076392082297,0,0.68120742911981
SAMD11,148398,198.84214577082,36.9971429121042,466.150820373408,1032.86393070301,1088.56721846702,8.67122949235763,17.2430556832919,2.43435346526931,6.8120742911981
NOC2L,26155,5216.01507099956,9835.07382413436,10816.4044624937,12258.1054361534,6206.98291894303,11704.7146097674,19730.3664656067,3612.58054245966,6961.93992560446
KLHL17,339451,1803.18828008899,2783.00730572161,1106.25548347153,1650.12957794373,1019.18815876221,1815.17737373353,1306.16146800936,211.78875147843,675.757769686851
PLEKHN1,84069,8.31659164820919,23.6370635271777,2.84238305105736,42.241137007643,13.6803779699626,0,0,13.3889440589812,30.6543343103914
PERM1,84808,22.6816135860251,21.5816666987274,3.97933627148031,77.66918740115,1.95433970999466,2.89040983078588,0,14.6061207916159,9.53690400767734
HES4,57801,1704.90128788288,1200.35174781494,930.02773430597,2799.49728974847,179.799253319508,67.9246310234681,56.0399309706986,165.536035638313,251.36554134521
ISG15,9636,418.853797555263,1115.05277943425,1396.1785546793801,469.421667713968,817.891168632764,335.287540371162,1491.52431660475,9691.16114523714,7939.47258639138
AGRN,375790,28398.8923172758,28750.8908363618,24807.1823164083,71108.184991737,38206.3641605405,31222.206992149,30649.5314770513,7890.95675767048,1758.87758198735
C1orf159,54991,1087.2053445568,1487.07960538374,1572.97478045515,1448.46221416531,1039.70872571716,1712.56782474063,1284.60764840525,674.3159098796,1126.03588033505
TNFRSF18,8784,12.0968605792134,179.847222489395,56.8476610211473,44.2850629918838,103.580004629717,0.722602457696469,0,36.5153019790397,0
TNFRSF4,7293,3.02421514480334,5.13849207112558,18.7597281369786,8.85701259837675,227.680576214377,13.0068442385364,8.62152784164595,24.3435346526931,2.04362228735943
SDF4,51150,6914.86792859284,16730.9301835849,14916.826251949,10406.3084944313,11712.357881998,14389.1827401098,20126.9567463225,14971.2738114063,18889.2008020632
B3GALT6,126792,3010.60617665173,4659.58461009667,6031.53683434373,4752.12791335983,3654.61525769001,8522.37338607216,4237.48093416898,1775.86085291396,2149.89064630212
C1QTNF12,388581,104.335422495715,16.4431746276018,13.0749620348639,33.3841244092662,74.2649089797969,33.2397130540376,17.2430556832919,41.3840089095783,7.49328172031791
UBE2J2,118424,3065.79810304439,4857.93040404212,7926.83785278878,5100.9579480036,3525.62883683036,7439.19230198515,8957.76742747014,6564.2341190987,5551.84054732645
SCNN1D,6339,1736.65554690332,2546.63667044984,2148.27310998916,4203.67444092189,604.868140243346,2274.75253682849,663.857643806738,191.096747023641,448.234488360835
ACAP3,116983,25609.8098999809,27067.5208338611,47242.111738404,46886.2994611609,9401.3511749293,25926.9761821493,36619.9395073912,2352.80262418279,3968.71448205201
PUSL1,126789,1004.79548186091,1536.40912926655,1678.14295334427,1426.66033700007,974.238345432336,1494.3418825163,4534.92364470577,1067.46399452059,974.126623641328
INTS11,54973,6646.46883449154,8844.37255282135,10839.7120035124,11374.4481023,5909.92328302384,10164.1261699585,12393.446272366,6609.26965820619,6813.43670605634
CPTP,80772,1347.28784700989,2838.50302008977,3311.37625448183,2003.04746455597,1925.02461434474,2891.85503570127,1616.53647030861,982.261623236168,1799.75002773454
TAS1R3,83756,19.6573984412217,39.0525397405544,436.0215600322,118.547707085966,82.0822678197756,226.897171716691,21.5538196041149,74.2477806907141,14.305356011516
DVL1,1855,6874.79707792419,7990.35517060027,10895.9911879233,11561.8079841887,4591.72114863245,10352.7254114173,8259.42367229682,1583.54692915769,2703.03107874741
MXRA8,54587,657.010740208526,1293.87230350942,1101.13919397962,892.514346451811,4251.66603909337,1690.16714855204,681.10069949003,371.23890345357,369.214426582937
AURKAIP1,54998,3068.82231818919,5293.67453167357,6328.85010148433,5611.93944406379,3934.08583621924,7862.63734219528,9569.895904227,8326.70602795369,11678.62016483
CCNL2,81669,6676.71098593958,21718.3505878194,10602.088780444,12301.7091904839,12217.5546970316,8046.90096890788,9237.96708232363,11022.7524907395,14212.0305937266
MRPL20-AS1,148413,836.951541324324,2815.89365497682,2944.70884089543,3771.72474958567,2715.55502703758,3168.61177699902,2267.46182235288,1991.3011345903,1797.70640544718
MRPL20,55052,2511.61067775917,3232.11151273799,4600.68120644145,4119.87347556802,3722.03997768482,6662.39465996145,9306.9393050568,14253.1395391518,14656.8590449418
ANKRD65,441869,99.7990997785102,989.673572898786,1659.9517018175,6278.25931492629,301.945485194174,418.386823006256,2814.9288402974,149.712738114063,19.0738080153547
TMEM88B,643965,49.8995498892551,25.6924603556279,69.9226230560112,161.470152755022,49.8356626048637,67.2020285657717,4.31076392082297,10.9545905937119,0
VWA1,64856,2490.44117174555,3948.41730745289,2821.34941647954,3392.91713383971,6473.7502893573,2970.61870359019,1857.9392498747,8061.36150023933,6.8120742911981
ATAD3C,219293,42.3390120272468,63.7173016819572,109.715985770814,305.907588974705,199.342650419455,42.6335450040917,25.8645835249378,1651.70882618523,17.0301857279952
ATAD3B,83858,1644.41698498682,1962.90397116997,1846.98050657708,3185.79930076998,2119.48141548921,2229.9511844513,3280.49134374628,530.68905542871,1534.76033780693
ATAD3A,55210,2849.56672019095,4042.9655615616,6868.33440457502,6234.65556059582,3552.01242291529,6085.03529626197,9578.51743206865,1242.73744401998,2160.78996516804
TMEM240,339453,502.775767823555,535.430873811285,896.487614303493,195.535585825702,527.671721698557,1024.65028501359,306.064238378431,178.924979697295,157.358916126676
SSU72,29101,3548.16041864052,4023.43929169133,5770.60607025666,6800.1417495691,5732.07836941433,5537.30263332804,11332.9983478436,9783.66657691737,18594.9191926835
FNDC10,643988,826.366788317513,12.3323809707014,316.64147188779,115.822472440311,297.059635919188,267.36290934769403,1336.33681545512,19.4748277221545,0
MIB2,142678,3122.50213700945,7595.71897953783,4980.99205867292,6757.21930390005,4345.47434517312,4343.56337321348,1237.18924527619,389.49655444309,1653.9716379029
MMP23B,8510,3.78026893100418,15.4154762133767,9.66410237359504,56.5486188973285,50.8128324598611,18.7876639001082,0,4.86870693053863,12.2617337241566
CDK11B,984,2681.72277965436,3217.72373493884,4518.820574571,4373.32029761387,2930.53239513699,3378.16648973099,29343.370009042,2620.58150536242,3602.90609261467
SLC35E2B,728661,3148.96401952648,10126.9401737743,7078.67075035326,9323.02772278365,8182.82036574763,11147.5881148834,5862.63893231924,3937.56673007311,7841.37871659813
MMP23A,8511,1.51210757240167,10.2769841422512,15.9173450859212,33.3841244092662,28.3379257949225,25.2910860193764,0,15.8232975242505,2.04362228735943
CDK11A,728642,1510.59546482927,2001.95651091053,2777.00824088304,3361.57693541468,2659.85634530273,1948.13622594968,4944.44621718395,1996.16984152084,2166.92083203012
SLC35E2A,9906,218.499544212041,324.752698895137,783.36076887141,714.011477161449,590.210592418386,403.21217139463,379.347225032422,152.147091579332,346.053373992863
"NADK",65220,3034.04384402395,8122.92826603531,7557.32805615132,6389.31262673671,4233.09981184843,7976.08592805363,8944.83513570767,4700.73654143504,7197.63769607991
GNB1,2782,38391.6552094922,43247.6046674213,105536.54573254,40433.6251289127,46815.230583067,85203.5009919061,96949.0805793087,60082.2778763119,56330.4047287753
CALML6,163688,46.1192809582509,117.157619221663,79.5867254296062,67.449557479946,127.032081149653,81.654077719701,8.62152784164595,2.43435346526931,21.1174303027141
TMEM52,339456,82.409862695891,62.6896032677321,3.41085966126884,17.0327165353399,12.7032081149653,0,77.5937505748135,7.30306039580794,8.17448914943772
CFAP74,85452,1.51210757240167,0,45.4781288169178,0.681308661413596,36.1552846349011,2.89040983078588,0,2.43435346526931,0
GABRD,2563,627.524642546693,14.3877777991516,13.6434386450753,44.2850629918838,63.5160405748263,16.6198565270188,0,0,0
PRKCZ,5590,3050.67702732037,440.882619702575,3294.8904327857,1826.58852124985,953.717778477392,2578.245569061,43.1076392082297,57.2073064338289,0
PRKCZ-AS1,100506504,554.943479071413,290.838651225708,326.305574261385,577.068436217316,722.128522843026,468.246392587312,38.7968752874068,85.202371284426,66.0771206246216
FAAP20,199990,1846.28334590244,1842.66325670563,1680.98533639533,1250.88270235536,1389.5355338062,2761.06399085821,1332.0260515343,2279.77202022471,3425.1109536144
SKI,6497,7409.32710476818,16216.0532780581,13031.7578124878,9530.8268645148,12427.646215856,14199.8608961933,21709.0071052645,3356.97342860638,6451.0343537646
MORN1,79906,319.054697776752,290.838651225708,289.923071207851,590.013300784174,274.584729254249,293.376597824767,193.984376437034,203.268514349988,181.201176145869
LOC100129534,100129534,87.7022391992969,188.068809803196,122.222471195467,443.531938580251,218.886047519402,210.999917647369,125.012153703866,45.0355391074823,40.8724457471886
RER1,11079,5865.46527334608,9780.60580818043,14689.4356078645,9717.50543774212,8085.10338024789,10495.0780955835,10466.5347997582,18258.8681662525,20783.6386624454
PEX10,5192,2367.96045838102,2453.11611475535,2459.79829238504,2794.72812911857,2109.70971693923,4395.59075016762,2426.96008742333,1112.49953362808,1732.31049225168
PLCH2,9651,46.1192809582509,31.8586508409786,61.3954739028391,508.256261414543,149.506987814591,24.56848356168,8.62152784164595,3.65153019790397,4.76845200383867
PANK4,55229,2275.72189646451,4762.35445151919,3622.90143687772,2696.61968187501,2373.54557778851,4812.53236825849,4914.27086973819,1683.35542123373,2497.98764258234
HES5,388585,322.834966707757,1068.80635079412,42.6357457658605,1753.6884944786,29.3150956499198,2.89040983078588,198.295140357857,17.0404742568852,5.44965943295848
TNFRSF14-AS1,115110,1.51210757240167,35.969444497879,1.70542983063442,6.81308661413596,9.77169854997328,2.89040983078588,0,4.86870693053863,20.4362228735943
TNFRSF14,8764,358.369494659196,1938.23920922857,7.39019593274915,134.217806298478,481.744738513683,190.044446374171,86.2152784164595,1790.46697370558,2838.59135714225
PRXL2B,127281,2799.66717030169,4428.35246689602,2949.25665377712,4577.03158737654,2529.89275458808,4125.33743098914,2284.70487803618,1276.81839253375,3998.68760893328
MMEL1,79258,46.8753347444518,63.7173016819572,13.6434386450753,103.558916534867,215.95453795441,19.5102663578047,125.012153703866,53.5557762359249,285.4259128012
TTC34,100287898,21.9255597998242,13.3600793849265,8.52714915317209,14.9887905510991,29.3150956499198,15.1746516116259,12.9322917624689,2.43435346526931,14.305356011516
PRDM16-DT,440556,194.305823053615,547.763254781987,0,1383.0565826696,43.9726434748798,0.722602457696469,150.876737228804,0,2.04362228735943
PRDM16,63976,645.669933415513,1865.27262181858,93.2301640746816,2558.99533226947,133.872270134634,136.571864504633,5246.19969164156,13.3889440589812,6.8120742911981
ARHGEF16,27237,1206.66184277653,13.3600793849265,601.448253603738,5269.24118737275,46.9041530398718,26.0136884770729,8.62152784164595,731.523216313429,0
MEGF6,1953,805.95333609009,18.4985714560521,181.912515267671,9979.12796372494,770.009845737895,13.7294466962329,12.9322917624689,4.86870693053863,6.13086686207829
TPRG1L,127262,737.152441545814,1387.39285920391,1480.31309299068,2082.07926927995,1494.09270829091,971.900305601751,3883.9982926615,2209.1757697319,4057.95265526671
WRAP73,49856,2353.5954364432,3258.83167150784,4014.01334470321,3465.81716061096,2403.83784329343,2375.91688090599,4310.76392082297,2229.86777418669,2819.51754912689
TP73,7161,1630.051963049,1672.06531994426,5168.58934004271,5394.60198107286,747.534939072956,44.0787499194846,3978.8350989196,62.0760133643675,42.916068034548
TP73-AS1,57212,3493.72454603406,5441.66310332199,5503.42206345727,7734.21592436714,8601.04906368648,7965.96949364588,7694.71359866901,3551.72170582793,3677.83890981785
CCDC27,148870,3.02421514480334,1.02769841422512,1.70542983063442,10.9009385826175,38.1096243448958,1.44520491539294,8.62152784164595,0,0
SMIM1,388588,6.80448407580752,8.22158731380092,1.13695322042295,0.681308661413596,44.9498133298771,6.50342211926822,8.62152784164595,45.0355391074823,17.7113931571151
LRRC47,57470,4107.64022042914,6542.32810495709,9146.22018169239,7582.28409287191,5675.40251782448,7892.98664541853,10121.6736860923,4755.5094944036,6694.22540596037
CEP104,9731,1831.16227017842,3725.40675156604,3440.42044499983,3991.10613856085,2414.5867116984,3257.49187929568,4793.56947995515,2047.29126429149,4549.78441909121
DFFB,1677,1014.62418108152,1365.81119250518,1385.94597569557,1202.509787395,802.256450952807,1156.88653477205,2392.47397605675,449.138214342188,1180.53247466463
C1orf174,339448,1074.35243019139,2433.58984488507,2401.24520153326,2343.02048660136,2438.03878821833,2385.31071285605,4039.18579381113,1567.72363163344,3930.5668660213
LINC01134,100133612,1.51210757240167,4.11079365690046,2.84238305105736,17.0327165353399,99.6713252097275,0,4.31076392082297,3.65153019790397,6.8120742911981
AJAP1,55966,694.813429518567,4.11079365690046,2.84238305105736,234.370179526277,11.7260382599679,2.89040983078588,8.62152784164595,2.43435346526931,0
NPHP4,261734,1289.07170547242,924.928572802604,2538.81654120444,2221.74754486974,2369.63689836852,2594.86542558802,1694.13022088343,344.461015335608,1448.24699430872
KCNAB2,8514,1203.63762763173,176.76412724672,2043.67341371025,1686.92024566006,816.913998777766,1562.26651353977,362.10416934913,77.899310888618,372.620463728536
CHD5,26038,1520.42416404988,65.7726985104074,60.8269972926276,222.787932282246,1831.21630826499,89.6027047543622,43.1076392082297,30.4294183158664,7.49328172031791
RPL22,6146,24231.5238477368,11771.2576365345,16646.7005768226,40976.6281320593,20416.0097804592,27193.6982904912,47564.9691023607,24535.8485764494,46221.9676880665
RNF207,388591,1125.00803386684,28.7755555983032,325.737097651174,54.5046929130877,505.196815033619,249.297847905282,21.5538196041149,31.6465950485011,1078.35136029666
