Ensembl Gene ID,Gene Symbol,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good,GBM44_poor,GBM5_good,Description
ENSG00000132004,FBXW9,5.88,12.67,5.6,5.33,11.64,9.86,2.57,2.92,7.56,3.46,3.97,F-box and WD repeat domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28136]
ENSG00000264668,ZFP41,2.31,3.78,2.63,3,4.19,4.36,0.76,0.23,0.38,0.17,3.85,NA
ENSG00000110911,SLC11A2,6.08,6.91,13.04,9.86,10.03,12.52,2.25,4.02,3.77,1.11,13.01,solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]
ENSG00000228998,RP11-697E2.7,17.39,29.39,88.03,35.84,96.81,49.09,0,22,19.79,0,18.12,NA
ENSG00000213722,DDAH2,99.93,119.93,51.32,136.45,224.26,120.63,4.63,20.7,34.09,37.36,76.49,dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]
ENSG00000141959,PFKL,29.08,35.67,18.64,50.18,17.58,36.45,3.85,4.98,17.75,10.15,40.3,"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]"
ENSG00000181104,F2R,6.21,116.91,12.17,14.04,9.16,10.65,2.24,7.02,5.43,25.59,1.52,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]
ENSG00000201457,SNORA55,11.23,12.02,5.49,11.46,12.97,10.38,0,1.63,6.83,0,20.84,"small nucleolar RNA, H/ACA box 55 [Source:HGNC Symbol;Acc:HGNC:32649]"
ENSG00000197885,NKIRAS1,2.85,1.49,4.14,1.82,1.74,3.23,0.2,0.84,1.14,0,1.17,NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]
ENSG00000185686,PRAME,14.25,0.08,51.31,0.46,134.38,0.35,0.95,0.01,15.14,0,0.1,preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:HGNC:9336]
ENSG00000106733,NMRK1,0.57,0.85,2.21,2.34,1.13,0.13,0,1.46,4.04,0.9,2.24,nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]
ENSG00000127863,TNFRSF19,0.82,15.64,19.85,1.56,15.14,16.22,1.52,1.37,0.64,2.62,0.04,TNF receptor superfamily member 19 [Source:HGNC Symbol;Acc:HGNC:11915]
ENSG00000235522,AC009505.2,3.53,4.55,5.23,4.32,6.12,3.09,0,0.68,0.68,0.47,2.3,NA
ENSG00000229604,MTATP8P2,73.85,19.07,43.19,31.28,18.72,45.21,0,67.22,48.64,24.52,58.19,mitochondrially encoded ATP synthase 8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44572]
ENSG00000101265,RASSF2,8.86,78.24,35.96,14.94,5.49,20.98,6.34,10.35,3.03,0.91,14.67,Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]
ENSG00000152104,PTPN14,0.05,1.55,0.88,1.14,1.25,0.04,0.22,1.37,1.69,0.39,1.78,"protein tyrosine phosphatase, non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]"
ENSG00000233627,C4A-AS1,0.82,2.69,1.03,11.07,2.9,0.54,0,2.03,0.44,0,0.62,C4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39753]
ENSG00000085185,BCORL1,1.54,1.84,1.42,2.55,1.29,1.53,0.86,0.31,0.57,0.45,1.22,BCL6 corepressor-like 1 [Source:HGNC Symbol;Acc:HGNC:25657]
ENSG00000124772,CPNE5,0.47,3.13,0.23,0.43,1.92,8.54,0.11,0.26,3.54,2,0.01,copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]
ENSG00000150403,TMCO3,3.34,8.47,10.52,5.17,6.66,5.58,1.77,3.79,3.1,2.09,2.87,transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]
ENSG00000116863,ADPRHL2,32.7,47.1,82.18,36.33,32.96,45.53,19.68,15.57,30.87,11.75,29.41,ADP-ribosylhydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:21304]
ENSG00000137161,CNPY3,26.37,36.5,11.14,43.8,53.35,25.84,4.39,38.01,21.85,10.31,46.49,canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]
ENSG00000216031,MIR298,2.68,0.77,0,4.52,4.77,0,0,1.07,1.7,0,1.91,microRNA 298 [Source:HGNC Symbol;Acc:HGNC:33634]
ENSG00000223776,LGALS8-AS1,2.81,3.99,8.82,4.66,5.15,2.14,0,2.28,5.73,0,6.12,LGALS8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40340]
ENSG00000139180,NDUFA9,6.89,8.6,9.73,9.54,8.15,11.55,2.61,6.56,7.8,0.99,7.16,NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]
ENSG00000249773,MRPS17,1.16,1.94,2.9,2.5,2.26,1.64,4.88,72.63,1.97,0.29,1.23,NA
ENSG00000213036,RP11-365D23.4,1.17,3.17,2.17,2.77,2.19,1.81,76.94,2.63,3.56,68.91,0.88,NA
ENSG00000128908,INO80,0.85,2.52,2.75,1.72,2.43,2.1,1.33,0.91,1.06,0.65,2.34,INO80 complex subunit [Source:HGNC Symbol;Acc:HGNC:26956]
ENSG00000219085,NPM1P37,0.5,0.46,0.5,1.77,1.04,0.37,0,1.08,1.06,0,0.86,nucleophosmin 1 pseudogene 37 [Source:HGNC Symbol;Acc:HGNC:45216]
ENSG00000141753,IGFBP4,8.23,4.56,25.24,32.74,59.59,21.32,3.1,0,0.02,0.35,3.41,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
ENSG00000259248,USP3-AS1,0.8,1.24,1.56,2.31,1.13,1.23,0.19,0.79,0.94,0.43,1.26,USP3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44140]
ENSG00000159873,CCDC117,6.96,13.56,11.59,7.48,12.85,6.96,3.66,2.89,10.76,0.6,20.94,coiled-coil domain containing 117 [Source:HGNC Symbol;Acc:HGNC:26599]
ENSG00000237828,PA2G4P1,1.97,2.71,4.05,3.58,3.63,5.19,0,2.05,1.65,4.14,3.72,proliferation-associated 2G4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8551]
ENSG00000198301,SDAD1,1.01,6.75,3.81,3.09,8.55,3.8,1.22,3.46,3.89,0.89,5.2,SDA1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25537]
ENSG00000272112,CTB-113P19.5,0.45,3.08,2.05,0.84,2.4,2.13,0,1.38,3.56,0,0.72,NA
ENSG00000264453,AC003006.1,10.18,5.5,0,15.93,13.84,4.66,0,2.56,0.58,0,2.93,NA
ENSG00000234604,RP1-206D15.5,34.01,4.73,2.69,3.98,7,15.62,0,3.47,2.74,0,11.34,NA
ENSG00000162576,MXRA8,3.4,10.07,7.39,6.76,33.21,11.03,1.22,1.18,1.67,3.81,11.52,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]
ENSG00000243869,RN7SL56P,23.82,28.25,8.67,22.31,24.99,4.51,0,5.37,28.62,0,16.06,NA
ENSG00000109519,GRPEL1,6.13,25.22,12.71,11.14,21.43,22.85,4.17,18.39,21.53,4.26,18.64,"GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]"
ENSG00000120727,PAIP2,19.4,22.72,20.71,27.97,25.87,22.87,16.51,12.08,10.51,19.37,17.06,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]
ENSG00000127831,VIL1,2.98,3.09,4.03,5.23,2.8,2.91,0.65,1.72,2.61,0.29,3.27,villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]
ENSG00000204592,HLA-E,1.67,204.07,7.85,50.68,65.43,8.09,25.67,151.44,163.87,26.13,8.87,"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"
ENSG00000186076,RP11-887P2.3,32.62,19.44,51.74,17.04,15.01,52.99,21.69,22.4,51.96,12.95,23.71,NA
ENSG00000119042,SATB2,1.46,2.88,0.87,0.96,1.47,5.1,5.13,1.16,0.65,5.4,1.67,SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]
ENSG00000137312,FLOT1,56.63,85.1,42.49,61.84,93.65,127.95,16.56,58.8,63.13,20.11,36.47,flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]
ENSG00000234629,WDR82P1,2.08,2.59,2.91,2.07,2.76,3.07,0,0.23,0.53,0,0.89,WD repeat domain 82 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32447]
ENSG00000180479,ZNF571,1,2.68,0.93,1.69,1.35,0.87,0.83,0.48,0.81,0.5,3.04,zinc finger protein 571 [Source:HGNC Symbol;Acc:HGNC:25000]
ENSG00000136099,PCDH8,25.92,7.17,5.88,5.53,16.49,1.39,0,0.03,0,3.18,0.38,protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]
ENSG00000244560,RP4-800G7.2,12.18,13.47,8.2,13.98,19.7,9.54,0.92,0.99,4.85,2.06,9.38,NA
ENSG00000228989,AC133528.2,3.78,4.81,5.34,6.37,6.63,3.45,1.43,2.34,1.94,0,5.82,NA
ENSG00000238280,RP11-436D10.3,1.56,2.25,4.68,1.65,1.15,3.49,0,0.23,0.93,0,1.55,NA
ENSG00000273081,RP4-813F11.4,6.99,17.62,48.06,8.9,21.88,22.57,4.94,3.54,7.2,0,12.31,NA
ENSG00000252244,RNU7-3P,2.72,2.18,4.89,9.98,2.26,3.88,0,2.54,3.62,0,6.77,"RNA, U7 small nuclear 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:34099]"
ENSG00000172346,CSDC2,2.83,1.84,3.05,1.98,5.92,1.44,0.33,0.66,4.81,1.75,1.65,cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359]
ENSG00000029725,RABEP1,5.49,6.86,15.5,10.17,8.78,7.22,2.14,2.63,3.17,0.29,5.61,"rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]"
ENSG00000124587,PEX6,11.29,33.78,10.79,36.84,21.1,15.76,3.6,2.9,7.46,1.94,26.89,peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]
ENSG00000146707,POMZP3,4.77,2.48,1.76,2.16,5.75,7.74,0,2.19,1.85,0,3.22,POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:HGNC:9203]
ENSG00000104047,DTWD1,1.18,4.71,6.32,3.38,6.66,3.22,1.37,2.56,3.8,1.23,3.4,DTW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30926]
ENSG00000179163,FUCA1,2.51,3.09,2.24,3.87,2.08,1.56,0.48,1.45,4.18,0.64,2.4,"fucosidase, alpha-L- 1, tissue [Source:HGNC Symbol;Acc:HGNC:4006]"
ENSG00000105011,ASF1B,13.61,18.75,20.74,14.26,10.89,21.03,9.19,6.86,17.47,2.27,20.75,anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]
ENSG00000272663,RP11-191L17.1,15.47,8.52,8.01,5.49,4.79,2.74,0,2.1,4.76,0,6.2,NA
ENSG00000127804,METTL16,2.13,2.89,3.25,3.6,3.68,2.57,1.14,0.83,1.12,0.56,2.2,methyltransferase like 16 [Source:HGNC Symbol;Acc:HGNC:28484]
ENSG00000137818,RPLP1,480.48,711.63,1015.61,761.19,1000.39,755.68,275.35,753.05,960.17,278.25,915.56,ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]
ENSG00000197771,MCMBP,5.81,4,13,4.25,4.36,10.51,1.75,2.69,5.84,1.73,4.85,minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]
ENSG00000269907,RP11-330M2.4,2.14,3.69,1.12,4.69,4.46,1.7,0,1.62,0.91,0,2.29,NA
ENSG00000123473,STIL,2.74,3.93,5.69,4.46,2.64,3.5,0.69,1.11,2.73,0.23,3.55,SCL/TAL1 interrupting locus [Source:HGNC Symbol;Acc:HGNC:10879]
ENSG00000169554,ZEB2,3.44,7.91,10.87,22.7,11.73,5.68,11.69,1.24,1.42,14.84,25.19,zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]
ENSG00000188153,COL4A5,0,1.32,0.74,2.65,1.11,0.01,0.19,0.22,7.21,0.1,1.01,collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]
ENSG00000065000,AP3D1,14.59,24.27,13.94,12.67,16.93,18.29,6.45,3.49,7.1,2.5,18.12,adaptor related protein complex 3 delta 1 subunit [Source:HGNC Symbol;Acc:HGNC:568]
ENSG00000162076,FLYWCH2,6.41,6.64,4.78,8.7,6.25,8.15,1.71,3.85,6.79,1.83,4.29,FLYWCH family member 2 [Source:HGNC Symbol;Acc:HGNC:25178]
ENSG00000204103,MAFB,1.71,8.25,4.49,7.71,109.26,0.7,13.04,0.46,0.52,13.14,0.32,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]
ENSG00000147536,GINS4,4.91,9.49,4.63,7.51,12.18,13.6,3.84,2.93,6.2,0.63,20.74,GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]
ENSG00000137414,FAM8A1,20.05,38.72,21.82,36.16,34.77,22.99,3.89,12.72,19.58,4.36,29.34,family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]
ENSG00000259159,MFRP,3.86,11.37,7.96,18.27,23.09,9.2,5.02,1,0.13,0,3.42,NA
ENSG00000259052,AL157871.2,4.35,5.09,4.14,8.48,3.58,4.1,2.89,0.93,1.66,0.86,4.15,NA
ENSG00000241258,CRCP,7.92,9.46,13.2,10.07,10.09,9.98,4.15,4.22,5.19,1.36,10.1,CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]
ENSG00000114353,GNAI2,66.63,49.97,65.77,39.01,73.99,71.73,9.2,19.8,41.08,13.18,24.92,G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]
ENSG00000251374,RPS23P5,4.25,3.94,3.27,7.29,14.95,1.94,0,0.31,0,0,0.82,NA
ENSG00000037749,MFAP3,1.49,2.29,1.92,2.26,2.41,1.97,0.61,0.91,1.33,0.3,1.47,microfibrillar associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]
ENSG00000144659,SLC25A38,12.15,13.12,20.54,19.95,16.75,20.88,2.37,11.13,17.09,4.24,15.08,solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]
