ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,phenotype
KEGG_PROTEASOME,KEGG PROTEASOME,39,-0.8668025131929459,-2.4956552758978785,1e-10,8.7e-9,6.526315789473685e-9,1414,"tags=82%, list=10%, signal=74%",PSMD13/PSMB7/PSMC5/PSMB6/PSMC3/PSME4/PSMB10/PSMC2/PSME1/PSMA2/PSMB1/PSMD7/SEM1/PSMD1/PSMA1/POMP/PSMB5/PSMD11/PSMD12/PSMC4/PSMA3/PSMD8/PSMC6/PSMB3/PSMB2/PSMB4/PSMA6/PSMC1/PSMA5/PSMA7/PSME2/PSMD14,good
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG OXIDATIVE PHOSPHORYLATION,103,-0.6918426503309649,-2.3884211993942848,1e-10,8.7e-9,6.526315789473685e-9,2931,"tags=64%, list=21%, signal=51%",NDUFA5/COX17/NDUFS3/PPA1/NDUFA2/COX11/NDUFC2/ATP6V0B/NDUFA10/ATP5MC3/SDHC/NDUFB2/COX7C/NDUFS4/NDUFS6/NDUFB5/NDUFB8/ATP6V1F/NDUFB3/ATP5MG/NDUFS1/ATP6V1E1/COX5B/NDUFA8/ATP5F1C/NDUFB9/NDUFS8/ATP5ME/NDUFA9/ATP5MF/UQCRC2/ATP6AP1/NDUFA3/NDUFA7/UQCR10/ATP6V1D/ATP5PB/NDUFB4/ATP5F1A/NDUFA4/NDUFB7/UQCRFS1/NDUFA6/NDUFC1/COX7A2/COX4I1/NDUFB1/NDUFAB1/UQCRQ/ATP5PD/COX6C/NDUFV2/UQCRH/UQCR11/ATP6V0E1/NDUFB10/COX6B1/NDUFA1/NDUFB6/COX7B/NDUFS5/COX7A2L/SDHB/ATP5F1E/UQCRHL/PPA2,good
KEGG_PARKINSONS_DISEASE,KEGG PARKINSONS DISEASE,104,-0.6491556456195,-2.2591286787251943,5.295084390944677e-9,2.4072862338422753e-7,1.8058287537594808e-7,2605,"tags=59%, list=19%, signal=48%",NDUFC2/NDUFA10/ATP5MC3/UBE2G1/CASP3/SDHC/PPID/NDUFB2/COX7C/NDUFS4/NDUFS6/NDUFB5/NDUFB8/NDUFB3/NDUFS1/COX5B/NDUFA8/ATP5F1C/NDUFB9/VDAC2/NDUFS8/NDUFA9/VDAC1/UQCRC2/NDUFA3/NDUFA7/CYCS/UQCR10/ATP5PB/NDUFB4/UBB/UBE2L3/ATP5F1A/NDUFA4/NDUFB7/UQCRFS1/NDUFA6/NDUFC1/COX7A2/COX4I1/SLC25A5/NDUFB1/NDUFAB1/UQCRQ/ATP5PD/COX6C/NDUFV2/UQCRH/UQCR11/VDAC3/NDUFB10/COX6B1/NDUFA1/NDUFB6/COX7B/NDUFS5/COX7A2L/SDHB/ATP5F1E/UBE2J1/UQCRHL,good
KEGG_RIBOSOME,KEGG RIBOSOME,84,-0.6853553393024814,-2.2267832423021066,5.53399134216615e-9,2.4072862338422753e-7,1.8058287537594808e-7,3357,"tags=70%, list=24%, signal=53%",RPL30/RPS20/RPS15/RPL7/RPS9/RPL27A/RPLP2/RPL10A/RPL31/RPL19/RPS8/RPS11/RPL26L1/RPL22/RPL37A/RPS15A/RPL21/RPS27L/RPL14/RPL5/RPL36A/RPS10/RPS27/RPS5/RPS27A/RPS2/RPL11/RPL18A/RPL38/RPL10/RPLP0/RPS7/RPS21/RPS19/RPS29/RPS16/RPS28/RPS12/RPL34/RPS6/RPL28/RPL13A/RPL12/RPL23A/RPS26/UBA52/RPL35/RPS3A/RPL18/RPL39/MRPL13/RPL4/RPL36/RPS4X/RPL17/RPL41/RPL9/RPL36AL/RPLP1,good
KEGG_HUNTINGTONS_DISEASE,KEGG HUNTINGTONS DISEASE,158,-0.5532159369247435,-1.964608533306656,2.555577524901451e-8,8.893409786657049e-7,6.671402380795367e-7,2715,"tags=49%, list=20%, signal=40%",POLR2J/NDUFA2/POLR2C/NDUFC2/CREB3L2/NDUFA10/ATP5MC3/CASP3/SDHC/REST/PPID/BAX/NDUFB2/COX7C/NDUFS4/NDUFS6/NDUFB5/DCTN4/NDUFB8/NDUFB3/CLTC/NDUFS1/POLR2D/COX5B/ITPR1/NDUFA8/ATP5F1C/NDUFB9/CASP8/VDAC2/NDUFS8/SOD1/NDUFA9/VDAC1/UQCRC2/NDUFA3/NDUFA7/CYCS/UQCR10/ATP5PB/NDUFB4/ATP5F1A/NDUFA4/NDUFB7/UQCRFS1/NDUFA6/NDUFC1/IFT57/COX7A2/COX4I1/SLC25A5/NDUFB1/NDUFAB1/UQCRQ/ATP5PD/COX6C/NDUFV2/UQCRH/HDAC1/UQCR11/VDAC3/CLTA/AP2S1/NDUFB10/COX6B1/NDUFA1/NDUFB6/CREB3/COX7B/NDUFS5/POLR2L/COX7A2L/SOD2/SDHB/ATP5F1E/POLR2I/UQCRHL,good
KEGG_SPLICEOSOME,KEGG SPLICEOSOME,122,-0.5688915800752686,-1.9882677770516257,1.3354036401185688e-6,3.8726705563438493e-5,2.9050886206088166e-5,3199,"tags=46%, list=23%, signal=36%",CRNKL1/THOC2/ALYREF/SNRNP27/U2AF1/PPIL1/ISY1/CDC40/TXNL4A/PRPF4/TRA2A/EIF4A3/PRPF38B/PCBP1/RBMX/PRPF40A/RBM25/SNU13/SF3B4/SNRPF/PRPF31/PLRG1/SRSF1/SNW1/BCAS2/TRA2B/SMNDC1/HSPA8/LSM4/SF3A3/DDX5/SNRPC/HNRNPC/DHX15/SNRPD3/SNRNP40/SF3B6/SNRPB2/SNRPB/LSM7/SNRPE/CTNNBL1/LSM5/SRSF3/PPIH/USP39/SF3B5/PHF5A/LSM6/SNRPD1/SRSF7/SNRPG/SNRPD2/MAGOH/PQBP1/SNRPA1,good
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG NEUROACTIVE LIGAND RECEPTOR INTERACTION,111,0.7145659014229955,1.7883754839939476,1.1577103362324365e-5,2.8777371214920567e-4,2.158738070568754e-4,1809,"tags=37%, list=13%, signal=32%",GRIK3/OPRL1/CHRNB2/GRIK4/THRB/GRIA4/S1PR5/ADRB1/VIPR2/CHRM1/P2RX5/PTH1R/CHRM3/PTH2R/VIPR1/GRIN2D/GRM2/CHRNA7/GRIK5/ADRA1D/THRA/GRM8/LPAR4/GPR35/S1PR2/GABRB3/GRM5/CHRM4/ADRA2A/P2RX7/GRID1/CHRNA4/GRM7/GABRG2/GRIA2/TACR1/P2RY1/CHRNA3/GRIN3B/S1PR3/GRIN2A,poor
KEGG_ALZHEIMERS_DISEASE,KEGG ALZHEIMERS DISEASE,140,-0.5006944004366535,-1.8096673228812632,1.750768537730146e-5,3.8079215695630675e-4,2.856517087875502e-4,2605,"tags=51%, list=19%, signal=42%",NDUFC2/NDUFA10/ATP5MC3/CASP3/SDHC/NDUFB2/COX7C/NDUFS4/ITPR3/NDUFS6/NDUFB5/BACE2/BID/NDUFB8/PPP3R1/NDUFB3/NDUFS1/ATF6/COX5B/CHP1/ITPR1/NDUFA8/ATP5F1C/NDUFB9/CASP8/NDUFS8/IDE/PPP3CA/CASP7/FADD/NDUFA9/UQCRC2/CALM1/NDUFA3/NDUFA7/CYCS/UQCR10/ATP5PB/NDUFB4/CALM2/ATP5F1A/NDUFA4/PSENEN/NDUFB7/UQCRFS1/NDUFA6/NDUFC1/COX7A2/COX4I1/HSD17B10/GAPDH/ADAM10/NDUFB1/NDUFAB1/UQCRQ/ATP5PD/COX6C/NDUFV2/UQCRH/UQCR11/CAPN2/NDUFB10/COX6B1/NDUFA1/FAS/NDUFB6/COX7B/NDUFS5/COX7A2L/SDHB/ATP5F1E/UQCRHL,good
KEGG_PROTEIN_EXPORT,KEGG PROTEIN EXPORT,23,-0.7805154094854465,-2.0291534036468484,1.900455360250376e-4,0.003563423082520632,0.0026731062446010796,2077,"tags=57%, list=15%, signal=48%",SRP19/HSPA5/SRP72/SPCS3/SEC63/SEC11A/SRPRA/SRP14/SRP9/OXA1L/SRPRB/SRP54/SEC61B,good
KEGG_APOPTOSIS,KEGG APOPTOSIS,70,-0.5667197345683117,-1.778225162199358,2.047944300299214e-4,0.003563423082520632,0.0026731062446010796,2480,"tags=39%, list=18%, signal=32%",CASP3/BAX/MYD88/BID/PPP3R1/ENDOD1/CHP1/CASP6/PRKACB/CASP8/PPP3CA/BIRC3/CASP7/FADD/IRAK2/CYCS/CFLAR/RIPK1/TNFRSF10A/CASP10/IL1R1/AIFM1/CAPN2/FAS/NFKB1/BCL2L1/NFKBIA,good
