pdx_id,bev_resp,animal_id,field_n,neg,wk,plus_one,plus_two,sum,rna_tpm
g39,good,6919,1,0.1,0.7,0.2,0,1,11
g39,good,6919,2,0.1,0.7,0.2,0,1,11
g39,good,6919,3,0.25,0.6,0.15,0,1,11
g39,good,6919,4,0.25,0.6,0.15,0,1,11
g39,good,6919,5,0.15,0.7,0.15,0,1,11
g39,good,6919,6,0.25,0.65,0.1,0,1,11
g39,good,6919,7,0.3,0.5,0.2,0,1,11
g39,good,7244,1,0.15,0.8,0.05,0,1,11
g39,good,7244,2,0.1,0.85,0.05,0,1,11
g39,good,7244,3,0.1,0.9,0,0,1,11
g39,good,7244,4,0.2,0.8,0,0,1,11
g39,good,7244,5,0.1,0.85,0.05,0,1,11
g39,good,7244,6,0.2,0.8,0,0,1,11
g39,good,7244,7,0.1,0.75,0.15,0,1,11
g39,good,8007,1,0.1,0.7,0.2,0,1,11
g39,good,8007,2,0.1,0.65,0.25,0,1,11
g39,good,8007,3,0.05,0.65,0.3,0,1,11
g39,good,8007,4,0.05,0.75,0.2,0,1,11
g39,good,8007,5,0.1,0.8,0.1,0,1,11
g39,good,8007,6,0.05,0.8,0.15,0,1,11
g39,good,8007,7,0.05,0.8,0.15,0,1,11
g59,good,7436,1,0.1,0.8,0.1,0,1,10
g59,good,7436,2,0.15,0.75,0.1,0,1,10
g59,good,7436,3,0.15,0.65,0.2,0,1,10
g59,good,7436,4,0.1,0.8,0.1,0,1,10
g59,good,7436,5,0.05,0.7,0.25,0,1,10
g59,good,7436,6,0.15,0.75,0.1,0,1,10
g59,good,7436,7,0.05,0.8,0.15,0,1,10
g59,good,7911,1,0,0.55,0.4,0.05,1,10
g59,good,7911,2,0,0.5,0.45,0.05,1,10
g59,good,7911,3,0,0.6,0.4,0,1,10
g59,good,7911,4,0,0.65,0.35,0,1,10
g59,good,7911,5,0,0.65,0.35,0,1,10
g59,good,7911,6,0,0.6,0.35,0.05,1,10
g59,good,7911,7,0,0.5,0.45,0.05,1,10
g64,poor,2747,1,0.1,0.5,0.3,0.1,1,641
g64,poor,2747,2,0.1,0.65,0.25,0,1,641
g64,poor,2747,3,0.05,0.6,0.3,0.05,1,641
g64,poor,2747,4,0.05,0.5,0.35,0.1,1,641
g64,poor,2747,5,0,0.6,0.35,0.05,1,641
g64,poor,2747,6,0,0.6,0.4,0,1,641
g64,poor,2747,7,0.1,0.65,0.25,0,1,641
g64,poor,3132,1,0,0.15,0.85,0,1,641
g64,poor,3132,2,0,0.15,0.85,0,1,641
g64,poor,3132,3,0,0.15,0.85,0,1,641
g64,poor,3132,4,0,0.2,0.8,0,1,641
g64,poor,3132,5,0,0.1,0.9,0,1,641
g64,poor,3132,6,0,0.3,0.7,0,1,641
g64,poor,3132,7,0,0.15,0.85,0,1,641
g64,poor,3209,1,0,0.75,0.25,0,1,641
g64,poor,3209,2,0.05,0.75,0.2,0,1,641
g64,poor,3209,3,0.05,0.7,0.25,0,1,641
g64,poor,3209,4,0,0.85,0.15,0,1,641
g64,poor,3209,5,0.1,0.7,0.2,0,1,641
g64,poor,3209,6,0,0.75,0.25,0,1,641
g64,poor,3209,7,0.05,0.8,0.15,0,1,641
g108,poor,6451,1,0.05,0.55,0.3,0.1,1,459
g108,poor,6451,2,0.05,0.45,0.35,0.15,1,459
g108,poor,6451,3,0,0.2,0.65,0.15,1,459
g108,poor,6451,4,0,0.15,0.8,0.05,1,459
g108,poor,6451,5,0,0.1,0.8,0.1,1,459
g108,poor,6451,6,0.05,0.1,0.75,0.1,1,459
g108,poor,6451,7,0,0.2,0.75,0.05,1,459
g108,poor,6495,1,0,0.4,0.5,0.1,1,459
g108,poor,6495,2,0,0.1,0.8,0.1,1,459
g108,poor,6495,3,0,0.1,0.8,0.1,1,459
g108,poor,6495,4,0,0.1,0.85,0.05,1,459
g108,poor,6495,5,0,0.05,0.8,0.15,1,459
g108,poor,6495,6,0,0.05,0.85,0.1,1,459
g108,poor,6495,7,0,0.15,0.8,0.05,1,459
